;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
126;B;other;1100;1200.0;14;3098.0;1578.0;3514.2631152912154;1391.0865065078926;80.80475525871177;3288.2806574170345;1578.0;186.91349349210736;5.151468053562813;;1147.7889411429824;False
127;B;other;1200;inf;15;6976.0;3500.0;7794.626681571137;3132.4142896704516;116.87590702661912;7251.221728647456;3500.0;367.5857103295484;7.004238105161317;;1147.7889411429824;False
128;BnT;B;0;50.0;0;84614813.0;0.0;0.0;65903.94947729161;;;0.0;-0.0;;;1141.6145327092402;False
129;BnT;B;50;100.0;1;83.0;0.0;0.0;0.06464621988368872;326.2078069779038;851.1606827171546;0.0;-0.0;-0.2544390361743309;;1141.6145327092402;False
130;BnT;B;100;150.0;2;68.0;0.0;0.0;0.052963168097479925;295.3018794386517;763.3827850374498;0.0;-0.0;-0.23027283175191182;;1141.6145327092402;False
131;BnT;B;150;200.0;3;60.0;0.0;0.0;0.046732207144835225;277.40704148717396;713.2436619267294;0.0;-0.0;-0.21628866981292588;;1141.6145327092402;False
132;BnT;B;200;250.0;4;87.0;0.0;0.0;0.06776170036001107;333.9641697348185;873.4255212136688;0.0;-0.0;-0.2605069881271444;;1141.6145327092402;False
133;BnT;B;250;300.0;5;97.0;0.0;0.0;0.07555040155081695;352.605004061044;927.3213315411657;0.0;-0.0;-0.27509535849697436;;1141.6145327092402;False
134;BnT;B;300;400.0;6;244.0;0.0;0.0;0.19004430905566325;558.5259966097271;1559.2282124874735;0.0;-0.0;-0.43686417728286375;;1141.6145327092402;False
135;BnT;B;400;500.0;7;313.0;1.0;1283.911111111111;0.24378634727222376;632.2081056811031;1801.7363198889063;0.0;0.0;1.5357460658703666;;1141.6145327092402;False
136;BnT;B;500;600.0;8;390.0;0.0;0.0;0.303759346441429;705.2271501674713;2050.6830295144127;0.0;-0.0;-0.5530133091265504;;1141.6145327092402;False
137;BnT;B;600;700.0;9;403.0;0.0;0.0;0.3138846579894766;716.8033823084884;2090.9429730060115;0.0;-0.0;-0.5622183292468926;;1141.6145327092402;False
138;BnT;B;700;800.0;10;493.0;0.0;0.0;0.38398296870672943;792.1913208871256;2358.4680019245484;0.0;-0.0;-0.622324414571874;;1141.6145327092402;False
139;BnT;B;800;900.0;11;502.0;0.0;0.0;0.39099279977845475;799.3267722833314;2384.270705902678;0.0;-0.0;-0.6280285077478424;;1141.6145327092402;False
140;BnT;B;900;1000.0;12;501.0;0.0;0.0;0.3902139296593741;798.5372043096468;2381.411415411331;0.0;-0.0;-0.6273971923864533;;1141.6145327092402;False
141;BnT;B;1000;1100.0;13;481.0;1.0;1283.911111111111;0.37463652727776237;782.5726093397908;2323.8176671655137;0.0;0.0;1.0259892839700568;;1141.6145327092402;False
142;BnT;B;1100;1200.0;14;526.0;3.0;3851.733333333333;0.4096856826363888;818.0396621734724;2452.3361941164385;3.0;2.590314317363611;4.065491549024774;;1141.6145327092402;False
143;BnT;B;1200;inf;15;53451.0;40.0;51356.444444444445;41.63138673497646;2266.5469331121294;58788.310151095866;0.0;-0.0;-0.9241174426860783;;1141.6145327092402;False
144;BnT;DC;0;50.0;0;84614813.0;0.0;0.0;496476.4193955968;;;0.0;-0.0;;;850.3249852061517;False
145;BnT;DC;50;100.0;1;83.0;0.0;0.0;0.4870015231237884;118.8504302842908;362.87137559400134;0.0;-0.0;-0.6983567480695156;;850.3249852061517;False
146;BnT;DC;100;150.0;2;68.0;0.0;0.0;0.3989891996676821;107.59017621371906;321.35550359647766;0.0;-0.0;-0.6320279638256524;;850.3249852061517;False
147;BnT;DC;150;200.0;3;60.0;0.0;0.0;0.35204929382442535;101.07037765308911;298.0025512563424;0.0;-0.0;-0.5936457485688059;;850.3249852061517;False
148;BnT;DC;200;250.0;4;87.0;0.0;0.0;0.5104714760454168;121.67638058768989;373.5259800147068;0.0;-0.0;-0.7150114063205614;;850.3249852061517;False
149;BnT;DC;250;300.0;5;97.0;1.0;170.4306784660767;0.5691463583494877;128.46797518824508;399.51896311781815;0.0;0.0;0.5715874198100981;;850.3249852061517;False
150;BnT;DC;300;400.0;6;244.0;1.0;170.4306784660767;1.4316671282193298;203.49315253060402;723.1897546056068;0.0;-0.0;-0.36153217255238584;;850.3249852061517;False
151;BnT;DC;400;500.0;7;313.0;0.0;0.0;1.836523816117419;230.33846456809388;855.4056335065985;0.0;-0.0;-1.3588698725890365;;850.3249852061517;False
